FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
Z6603001,馬祖酒廠實業股份有限公司(東引酒廠),2017年第4季,1.09,公噸,0,公噸,0,公噸,0.066,公噸,完成申報
Z6600019,台灣電力股份有限公司馬祖區營業處-東引電廠,2017年第4季,0.004,公噸,0.402,公噸,0.262,公噸,21.596,公噸,完成申報
Z6503042,台灣電力股份有限公司馬祖區營業處-西莒電廠,2017年第4季,0.002,公噸,0.238,公噸,0.122,公噸,10.811,公噸,完成申報
Z6303328,台灣電力(股)公司協和發電廠馬祖珠山分廠-珠山機組,2017年第4季,0.002,公噸,2.228,公噸,10.676,公噸,162.392,公噸,完成申報
Z6303006,馬祖酒廠實業股份有限公司,2017年第4季,2.946,公噸,0,公噸,0.001,公噸,0.126,公噸,完成申報
Z6300023,台灣電力(股)公司協和發電廠馬祖珠山分廠-南竿機組,2017年第4季,0.007,公噸,0.686,公噸,0.412,公噸,58.004,公噸,完成申報
X0901036,台灣電力股份有限公司澎湖區營業處七美發電廠,2017年第4季,0.027,公噸,0.5,公噸,0.068,公噸,17.168,公噸,核算確認中
X0801031,台灣電力股份有限公司澎湖區營業處望安發電廠,2017年第4季,0.024,公噸,0.24,公噸,0.051,公噸,18.368,公噸,核算確認中
X0704126,共合造船廠,2017年第4季,0.402,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0704117,金泉泰造船廠,2017年第4季,0.026,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0695248,新東和造船廠,2017年第4季,0.17,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0604130,國福造船廠,2017年第4季,0.17,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0595627,昌億預拌混凝土有限公司(二),2017年第4季,0,公噸,1.151,公噸,0,公噸,0,公噸,完成申報
X0504493,新珊洗衣店,2017年第4季,0.02,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0504233,豪信預拌混凝土有限公司林投廠,2017年第4季,0.008,公噸,0,公噸,0.063,公噸,0.076,公噸,核算確認中
X0504180,台灣中油股份有限公司油品行銷事業部嘉義營業處馬公行銷服務中心,2017年第4季,1.939,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0501527,空軍馬公基地勤務隊,2017年第4季,0,公噸,0,公噸,0,公噸,0.014,公噸,核算確認中
X0501447,法務部矯正署澎湖監獄,2017年第4季,0,公噸,0,公噸,0.001,公噸,0.008,公噸,核算確認中
X0501296,泰永企業行水泥預拌混凝土廠,2017年第4季,0.001,公噸,0.871,公噸,0.857,公噸,0.071,公噸,核算確認中
X0501241,柄森企業有限公司湖西廠,2017年第4季,0,公噸,4.372,公噸,0,公噸,0,公噸,完成申報
X0501232,臺灣電力股份有限公司尖山發電廠,2017年第4季,0.007,公噸,6.75,公噸,123.118,公噸,222.421,公噸,核算確認中
X04A3374,明新洗衣店,2017年第4季,0,公噸,0,公噸,0.114,公噸,0.079,公噸,核算確認中
X04A2871,權耀工程有限公司,2017年第4季,0.028,公噸,0.169,公噸,0.169,公噸,0.267,公噸,核算確認中
X04A1477,展豐保麗龍廠,2017年第4季,0.02,公噸,0,公噸,0.547,公噸,0.38,公噸,核算確認中
X04A0677,富勝造船廠,2017年第4季,0.17,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0667,重光洗衣店,2017年第4季,0.03,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0627,明清洗衣店,2017年第4季,0.01,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0617,顏遜造船所,2017年第4季,0.018,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0607,宏興造船廠,2017年第4季,0.022,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0598,麗衣坊洗衣店,2017年第4季,0.02,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0588,快而潔洗衣店大仁店,2017年第4季,0.02,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0578,快而潔洗衣店民生店,2017年第4季,0.01,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0558,進泉企業行,2017年第4季,0.545,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0548,芳鄰洗衣店,2017年第4季,0.01,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0439,華信洗衣店,2017年第4季,0.03,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0429,全統洗衣店,2017年第4季,0.02,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0201,藍木商行,2017年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X04A0162,富國印刷廠,2017年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0405824,三軍總醫院澎湖分院附設民眾診療服務處,2017年第4季,0,公噸,0,公噸,0.001,公噸,0.091,公噸,核算確認中
X0405735,新來來租賃行,2017年第4季,0,公噸,0,公噸,0.01,公噸,0.007,公噸,核算確認中
X0405655,嘉華大飯店有限公司,2017年第4季,0,公噸,0,公噸,0,公噸,0.004,公噸,核算確認中
X0405575,衛生福利部澎湖老人之家,2017年第4季,0,公噸,0,公噸,0,公噸,0.002,公噸,核算確認中
X0405128,和順企業行,2017年第4季,0.024,公噸,0,公噸,0.162,公噸,0.112,公噸,核算確認中
X0405093,皓仁預拌企業有限公司,2017年第4季,0,公噸,1.339,公噸,0,公噸,0,公噸,完成申報
X0402341,豪信預拌混凝土有限公司,2017年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成申報
X0402243,興周造船廠,2017年第4季,0.013,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0402038,澎興造船廠,2017年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0402010,昇億船舶工業股份有限公司,2017年第4季,0.003,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0402001,行政院農業委員會水產試驗所澎湖海洋生物研究中心馬公試驗場,2017年第4季,0,公噸,0,公噸,0,公噸,0,公噸,核算確認中
