Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",澎湖,臭氧八小時,70,2018-06-16,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",金門,臭氧八小時,85,2018-06-16,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",馬祖,臭氧八小時,90,2018-06-16,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",花東,,35,2018-06-18,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",花東,,35,2018-06-17,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",花東,,35,2018-06-16,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,45,2018-06-18,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,45,2018-06-17,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,45,2018-06-16,,,2018-06-16 10:30
"1.依今(16)日10時監測結果，|全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒(對敏感族群不健康)」0站，「普通」21站，「良好」53站，「設備維護」3站。 \r2.依氣象局16日9時資料：受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，中部、雲嘉南及高屏地區夜間及清晨風速稍弱，若無風速增強或降雨洗除作用，仍可能有污染物累積，北部、竹苗、中部、雲嘉南、高屏空品區及馬祖、金門、澎湖為「普通」等級，離島地區仍須留意境外臭氧移入提高濃度；宜蘭及花東空品區為「良好」等級。\r3.17日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，降雨將可洗除空氣中的污染物，並受低壓帶影響，西半部風向以東北風為主，風速較大時擴散條件較佳，空氣品質以「良好」等級為主，僅降雨較緩和的區域可能達「普通」等級。臺灣本島所有空品區均為「良好」等級。\r4.18日受滯留鋒面及西南氣流影響，臺灣各地有陣雨或雷雨，隨著低壓帶逐漸往北移，風向將漸轉為西南風，風速偏大、擴散條件較佳，空氣品質可望維持「良好」至「普通」等級。北部、竹苗、中部及雲嘉南空品區為「普通」等級；高屏、宜蘭及花東空品區為「良好」等級。16日至18日滯留鋒面及西南氣流影響，全臺皆有短暫陣雨或雷雨，並有局部大雨發生的機率，南部及東南部地區則有豪雨等級以上降雨發生的機率。19日至21日鋒面逐漸北移，西南風影響，中南部地區仍有短暫陣雨或雷雨，其他地區亦有局部短暫陣雨或雷雨。未來一週，各地空氣品質以「良好」至「普通」等級為主。中部以北地區清晨及夜間風速偏弱，指標污染物為細懸浮微粒；局部地區仍需留意午後光化反應致臭氧濃度上升影響。梅雨季期間天氣不穩定，空氣品質受氣象條件影響大，仍有較大不確定性，請隨時留意最新空氣品質資訊。",高屏,,50,2018-06-18,,,2018-06-16 10:30
